,index_0=aggregated,scoreOnClassfication_BaseModel,scoreOnClassfication_PredictedModel,tp,fn,fp,tn,precision,recall,f1
200,20,0.988,0.962,481,15,4,0,0.9917525773195877,0.969758064516129,0.9806320081549439
201,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
202,20,0.998,0.974,487,12,1,0,0.9979508196721312,0.9759519038076152,0.9868287740628165
203,20,0.992,0.968,484,12,4,0,0.9918032786885246,0.9758064516129032,0.983739837398374
204,20,0.992,0.99,495,1,4,0,0.9919839679358717,0.9979838709677419,0.9949748743718592
205,20,1.0,1.0,500,0,0,0,1.0,1.0,1.0
206,20,0.998,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
207,20,0.998,0.988,493,6,0,1,1.0,0.9879759519038076,0.9939516129032258
208,20,0.992,0.964,482,14,4,0,0.9917695473251029,0.9717741935483871,0.9816700610997964
209,20,0.986,0.982,491,3,6,0,0.9879275653923542,0.9939271255060729,0.9909182643794148
210,20,0.99,0.976,488,9,3,0,0.9938900203665988,0.9818913480885312,0.9878542510121457
211,20,0.998,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
212,20,0.99,0.948,474,23,3,0,0.9937106918238994,0.9537223340040242,0.9733059548254621
213,20,0.996,0.99,495,3,2,0,0.9959758551307847,0.9939759036144579,0.9949748743718593
214,20,1.0,0.952,476,24,0,0,1.0,0.952,0.9754098360655737
215,20,0.996,0.986,493,3,4,0,0.9919517102615694,0.9939516129032258,0.9929506545820745
216,20,0.994,0.986,493,4,3,0,0.9939516129032258,0.9919517102615694,0.9929506545820745
217,20,0.996,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
218,20,0.998,0.988,494,6,0,0,1.0,0.988,0.993963782696177
219,20,0.996,0.968,484,14,2,0,0.9958847736625515,0.9718875502008032,0.983739837398374
220,20,1.0,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
221,20,0.994,0.978,489,8,3,0,0.9939024390243902,0.9839034205231388,0.9888776541961577
222,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
223,20,0.998,0.998,499,0,1,0,0.998,1.0,0.998998998998999
224,20,0.996,0.986,493,5,2,0,0.9959595959595959,0.9899598393574297,0.9929506545820745
225,20,0.984,0.956,478,17,5,0,0.989648033126294,0.9656565656565657,0.9775051124744376
226,20,0.998,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
227,20,0.998,0.968,484,16,0,0,1.0,0.968,0.983739837398374
228,20,0.992,0.984,492,2,6,0,0.9879518072289156,0.9959514170040485,0.9919354838709677
229,20,0.998,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
230,20,0.998,0.992,496,2,2,0,0.9959839357429718,0.9959839357429718,0.9959839357429718
231,20,0.998,0.966,483,17,0,0,1.0,0.966,0.982706002034588
232,20,0.998,0.968,484,15,1,0,0.9979381443298969,0.969939879759519,0.9837398373983739
233,20,0.996,0.984,492,8,0,0,1.0,0.984,0.9919354838709677
234,20,0.99,0.984,492,4,4,0,0.9919354838709677,0.9919354838709677,0.9919354838709677
235,20,0.998,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
236,20,0.992,0.982,491,5,4,0,0.9919191919191919,0.9899193548387096,0.9909182643794147
237,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
238,20,0.998,0.976,488,11,1,0,0.9979550102249489,0.9779559118236473,0.9878542510121457
239,20,0.996,0.978,489,10,1,0,0.9979591836734694,0.9799599198396793,0.9888776541961577
240,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
241,20,0.996,0.968,484,14,2,0,0.9958847736625515,0.9718875502008032,0.983739837398374
242,20,0.998,0.982,491,8,1,0,0.9979674796747967,0.9839679358717435,0.9909182643794147
243,20,0.998,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
244,20,0.998,0.96,480,19,1,0,0.997920997920998,0.9619238476953907,0.9795918367346939
245,20,1.0,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
246,20,0.994,0.986,493,3,4,0,0.9919517102615694,0.9939516129032258,0.9929506545820745
247,20,1.0,0.974,487,13,0,0,1.0,0.974,0.9868287740628165
248,20,0.998,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
249,20,0.998,0.984,492,7,1,0,0.9979716024340771,0.9859719438877755,0.9919354838709677
250,20,0.998,0.976,488,12,0,0,1.0,0.976,0.9878542510121457
251,20,0.984,0.978,488,0,11,1,0.9779559118236473,1.0,0.9888551165146909
252,20,1.0,0.966,483,17,0,0,1.0,0.966,0.982706002034588
253,20,0.996,0.994,497,1,2,0,0.9959919839679359,0.9979919678714859,0.9969909729187563
254,20,1.0,0.98,490,10,0,0,1.0,0.98,0.98989898989899
255,20,0.994,0.974,486,10,3,1,0.9938650306748467,0.9798387096774194,0.9868020304568528
256,20,0.998,0.992,496,3,1,0,0.9979879275653923,0.9939879759519038,0.995983935742972
257,20,0.994,0.974,487,12,1,0,0.9979508196721312,0.9759519038076152,0.9868287740628165
258,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
259,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
260,20,0.996,0.92,460,39,1,0,0.9978308026030369,0.9218436873747495,0.9583333333333334
261,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
262,20,0.998,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
263,20,0.998,0.98,490,10,0,0,1.0,0.98,0.98989898989899
264,20,0.994,0.986,493,4,3,0,0.9939516129032258,0.9919517102615694,0.9929506545820745
265,20,0.992,0.972,486,12,2,0,0.9959016393442623,0.9759036144578314,0.9858012170385395
266,20,0.998,0.982,491,7,2,0,0.9959432048681541,0.9859437751004017,0.9909182643794147
267,20,0.994,0.962,481,16,3,0,0.993801652892562,0.9678068410462777,0.9806320081549439
268,20,0.992,0.984,492,5,3,0,0.9939393939393939,0.9899396378269618,0.9919354838709677
269,20,0.994,0.988,494,5,1,0,0.997979797979798,0.9899799599198397,0.993963782696177
270,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
271,20,0.998,0.994,497,2,1,0,0.9979919678714859,0.9959919839679359,0.9969909729187563
272,20,0.986,0.982,491,5,4,0,0.9919191919191919,0.9899193548387096,0.9909182643794147
273,20,0.982,0.968,483,8,8,1,0.9837067209775967,0.9837067209775967,0.9837067209775967
274,20,0.998,0.998,499,0,1,0,0.998,1.0,0.998998998998999
275,20,0.998,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
276,20,0.994,0.978,489,8,3,0,0.9939024390243902,0.9839034205231388,0.9888776541961577
